Date,Time,Open,High,Low,Close,Volume
2024.11.26,4:00,2628.13,2630.44,2624.97,2625.35,4722
2024.11.26,3:00,2619.88,2632.15,2618.13,2628.06,5573
2024.11.26,2:00,2610.42,2624.4,2608.41,2619.9,4509
2024.11.26,1:00,2625.01,2628.45,2604.86,2610.42,3230
2024.11.25,23:00,2625.99,2628.32,2625,2625.46,1469
2024.11.25,22:00,2625.74,2628.76,2622.69,2626.02,3483
2024.11.25,21:00,2618.72,2626.23,2618.26,2625.65,3664
2024.11.25,20:00,2627.67,2628.49,2615.6,2618.74,4653
2024.11.25,19:00,2631.99,2634.19,2624.62,2627.8,4542
2024.11.25,18:00,2628.41,2639.37,2628.41,2632.08,5289
2024.11.25,17:00,2641.36,2641.7,2626.32,2628.35,5918
2024.11.25,16:00,2678.28,2678.75,2633.67,2641.34,6367
2024.11.25,15:00,2680.75,2687.8,2676.72,2678.31,5673
2024.11.25,14:00,2686.82,2686.92,2679.97,2680.92,3885
2024.11.25,13:00,2677.65,2688.73,2677.65,2686.78,3890
2024.11.25,12:00,2673.77,2678.05,2668.86,2677.72,4078
2024.11.25,11:00,2672.03,2675.15,2669.84,2673.88,4601
2024.11.25,10:00,2667.74,2673.62,2667.21,2672.01,4930
2024.11.25,9:00,2666.95,2672.58,2663.86,2667.82,4740
2024.11.25,8:00,2664.95,2669.93,2661.74,2666.93,5348
2024.11.25,7:00,2672.6,2674.02,2657.72,2664.78,4859
2024.11.25,6:00,2672.11,2676.34,2663.91,2672.5,3973
2024.11.25,5:00,2695.21,2697.41,2659.03,2672.11,5167
2024.11.25,4:00,2701.3,2704.47,2692.38,2695.2,5028
2024.11.25,3:00,2710.87,2710.87,2694.9,2701.19,6014
2024.11.25,2:00,2719.84,2720.1,2709.86,2710.59,3954
2024.11.25,1:00,2692.25,2721.31,2691.7,2719.87,4084
2024.11.22,23:00,2705.83,2715.5,2705.83,2715.34,1962
2024.11.22,22:00,2708.12,2708.86,2705.12,2705.96,3662
2024.11.22,21:00,2711,2711.41,2707.02,2708.2,3658
2024.11.22,20:00,2706.82,2711.42,2706.71,2710.89,4241
2024.11.22,19:00,2705.15,2707.26,2703.58,2706.8,4311
2024.11.22,18:00,2703.79,2706.59,2700.84,2705.14,5303
2024.11.22,17:00,2694.38,2704.98,2694.38,2703.66,6151
2024.11.22,16:00,2693.04,2696.28,2684.6,2694.1,6119
2024.11.22,15:00,2702.79,2704.13,2689.4,2692.91,6061
2024.11.22,14:00,2698.8,2704.86,2697.11,2702.98,4899
2024.11.22,13:00,2707.74,2709.99,2697.07,2698.8,4997
2024.11.22,12:00,2703.45,2708.56,2702.66,2707.67,4833
2024.11.22,11:00,2697.29,2707.44,2693.58,2703.26,5634
2024.11.22,10:00,2696.27,2700.39,2694.78,2697.33,5162
2024.11.22,9:00,2692.86,2698.93,2690.49,2696.38,4505
2024.11.22,8:00,2686.65,2693.23,2685.9,2692.75,4749
2024.11.22,7:00,2688.89,2689.11,2683.14,2686.59,4412
2024.11.22,6:00,2686.23,2692.26,2682.94,2688.75,3313
2024.11.22,5:00,2686.01,2690.54,2681.47,2686.18,4666
2024.11.22,4:00,2677.74,2686.41,2677.3,2686.01,4615
2024.11.22,3:00,2673.11,2679.45,2673.11,2677.87,4963
2024.11.22,2:00,2669.23,2673.54,2668.94,2673.09,2822
2024.11.22,1:00,2669.66,2670,2668.21,2669.23,1708
2024.11.21,23:00,2671.54,2671.87,2668.02,2669.41,1589
2024.11.21,22:00,2669.7,2671.83,2668.59,2671.53,3367
