datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-05 00:00:00,1.09443,1.095,1.09405,1.09471,6166,1.0943834,1.0949014,1.096976,0.0003226882,0.00034847757,-2.578938e-05,39.626812,45.583775,27.712893,1.094566,1.0967773,1.0923547,0.0013228571,1.09518,1.093895,1.0945375,1.09324,1.0932218
2024-01-05 01:00:00,1.09473,1.09488,1.09433,1.09463,1260,1.0944023,1.0948908,1.0969296,0.00029328102,0.00033743825,-4.4157237e-05,34.182266,41.78327,18.980257,1.094667,1.0966775,1.0926565,0.0011914285,1.095295,1.093895,1.094595,1.09324,1.0934467
2024-01-05 02:00:00,1.09462,1.09516,1.09442,1.09508,3547,1.0944544,1.0948982,1.096893,0.00030279643,0.00033050988,-2.771347e-05,37.398106,40.32155,31.55122,1.0947915,1.0965536,1.0930295,0.0011157143,1.095225,1.094395,1.09481,1.09324,1.0936671
2024-01-05 03:00:00,1.09508,1.09559,1.09499,1.09516,4632,1.0945088,1.0949085,1.0968586,0.0003131826,0.00032704443,-1.3861831e-05,44.004234,41.54911,48.914486,1.094917,1.0963666,1.0934674,0.001075,1.09502,1.094395,1.0947075,1.09324,1.0938833
2024-01-05 04:00:00,1.09516,1.09541,1.09464,1.09468,2630,1.0945219,1.0948995,1.0968155,0.0002794603,0.0003175276,-3.8067312e-05,42.972523,42.023582,44.8704,1.0949895,1.0962111,1.093768,0.0010628571,1.09482,1.094395,1.0946075,1.09324,1.094095
2024-01-05 05:00:00,1.09467,1.09474,1.09389,1.09392,3429,1.0944756,1.0948611,1.0967581,0.00018922817,0.0002918677,-0.00010263955,29.236582,37.76125,12.187251,1.0949975,1.0961868,1.0938082,0.0009607143,1.09474,1.094395,1.0945675,1.09324,1.10447
2024-01-05 06:00:00,1.09391,1.09413,1.0936,1.09371,2435,1.0944167,1.094816,1.0966978,9.96249e-05,0.00025341916,-0.00015379426,21.333601,32.285366,-0.5699288,1.094916,1.096224,1.093608,0.0009085714,1.094595,1.09457,1.0945826,1.09324,1.1042584
2024-01-05 07:00:00,1.09371,1.09381,1.09338,1.09373,3329,1.0943639,1.0947734,1.096639,2.988302e-05,0.00020871192,-0.00017882891,19.501436,28.024055,2.4561946,1.0947645,1.0958574,1.0936717,0.0007935714,1.094485,1.09464,1.0945625,1.09324,1.103832
2024-01-05 08:00:00,1.09374,1.09374,1.09245,1.09279,6422,1.0942428,1.0946956,1.0965629,-0.000100084355,0.00014695268,-0.000247037,16.610298,24.219471,1.391956,1.0946255,1.0959661,1.0932848,0.0008142857,1.09402,1.09464,1.09433,1.09324,1.103205
2024-01-05 09:00:00,1.09279,1.09336,1.09225,1.09234,8032,1.0940964,1.0946032,1.0964792,-0.00023666752,7.0228634e-05,-0.00030689614,11.971736,20.136892,-4.358576,1.094503,1.0961846,1.0928214,0.00076285715,1.09392,1.09464,1.09428,1.09324,1.1023445
2024-01-05 10:00:00,1.09233,1.09259,1.09034,1.09077,9933,1.0938406,1.0944529,1.0963662,-0.0004662222,-3.7061538e-05,-0.0004291607,10.711316,16.995033,-1.8561186,1.09428,1.0966126,1.0919474,0.0008621429,1.092965,1.093785,1.093375,1.09324,1.101335
